time,tem,PH,elec,tur,oxy
2019/1/1 0:00,17.2,7.16,2529,70,5.74
2019/1/1 1:00,17.2,7.17,1966,76,6.39
2019/1/1 2:00,17.2,7.15,2257,74,6.48
2019/1/1 3:00,17.2,7.14,1849,67,6.55
2019/1/1 4:00,17.1,7.14,1494,67,6.86
2019/1/1 5:00,17.1,7.12,2220,68,6.47
2019/1/1 6:00,16.9,7.13,2049,66,6.32
2019/1/1 7:00,16.8,7.13,2149,60,6.34
2019/1/1 8:00,16.7,7.12,2153,60,6.5
2019/1/1 9:00,16.7,7.12,2152,60,6.74
2019/1/1 10:00,17,7.12,915,61,6.98
2019/1/1 11:00,17.3,7.1,2318,64,5.97
2019/1/1 12:00,17.3,7.12,2697,62,5.92
2019/1/1 13:00,17.4,7.13,2925,74,6.25
2019/1/1 14:00,17.5,7.15,2818,98,6.36
2019/1/1 15:00,17.5,7.14,2551,96,6.03
2019/1/1 16:00,17.7,7.15,2812,98,6.45
2019/1/1 17:00,17.6,7.13,3033,96,6.06
2019/1/1 18:00,17.7,7.15,2646,93,6.33
2019/1/1 19:00,17.6,7.15,3061,97,6.04
2019/1/1 20:00,17.4,7.15,3002,94,5.65
2019/1/1 21:00,17.5,7.15,3099,87,5.7
2019/1/1 22:00,17.5,7.16,2986,84,5.6
2019/1/1 23:00,17.6,7.15,3099,84,5.84
2019/1/2 0:00,17.5,7.14,3153,87,6.45
2019/1/2 1:00,17.6,7.14,3358,76,5.66
2019/1/2 2:00,17.6,7.17,3308,77,6.23
2019/1/2 3:00,17.3,7.17,2897,63,5.75
2019/1/2 4:00,17.2,7.14,850,64,5.34
2019/1/2 5:00,17.2,7.15,2903,64,5.17
2019/1/2 6:00,17.1,7.15,2177,60,5.13
2019/1/2 7:00,17.1,7.14,2900,63,5.24
2019/1/2 8:00,17,7.14,2913,68,5.08
2019/1/2 9:00,17.2,7.14,2959,65,5.34
2019/1/2 10:00,17.3,7.14,2238,75,5.6
2019/1/2 11:00,17.4,7.14,2033,82,5.09
2019/1/2 12:00,17.3,7.14,3248,75,5.22
2019/1/2 13:00,17.4,7.15,3290,69,5.3
2019/1/2 14:00,17.6,7.16,1769,80,5.13
2019/1/2 15:00,17.7,7.15,3208,77,6.2
2019/1/2 16:00,17.6,7.12,2576,77,5.62
2019/1/2 17:00,17.8,7.13,2310,74,7.38
2019/1/2 18:00,17.8,7.12,3220,90,6.39
2019/1/2 19:00,17.7,7.13,3447,92,6.21
2019/1/2 20:00,17.8,7.15,188,118,6.03
2019/1/2 21:00,17.6,7.11,2962,91,7.01
2019/1/2 22:00,17.6,7.1,2566,97,6.58
2019/1/2 23:00,17.6,7.11,3102,106,6.03
2019/1/3 0:00,17.4,7.12,2984,82,5.92
2019/1/3 1:00,17.5,7.12,2968,86,5.59
2019/1/3 2:00,17.4,7.14,3330,78,4.85
2019/1/3 3:00,17.3,7.19,3579,100,4.2
2019/1/3 4:00,17.5,7.21,224,91,4.52
2019/1/3 5:00,17.3,7.19,2230,70,5.8
2019/1/3 6:00,17.4,7.1,2024,53,6.3
2019/1/3 7:00,17.5,7.12,1741,39,5.16
2019/1/3 8:00,17.4,7.05,1448,32,6.73
2019/1/3 9:00,17.6,7.05,1514,35,5.74
2019/1/3 10:00,17.6,7.06,1654,47,4.87
2019/1/3 11:00,17.7,7.09,1751,45,4.42
2019/1/3 12:00,17.7,7.09,1738,45,4.78
2019/1/3 13:00,17.7,7.08,1781,43,4.2
2019/1/3 14:00,17.8,7.24,1806,165,6
2019/1/3 15:00,17.8,7.28,1858,151,5.61
2019/1/3 16:00,17.7,7.3,1996,46,5.3
2019/1/3 17:00,17.6,7.34,2257,186,5.82
2019/1/3 18:00,17.7,7.36,2238,206,6.12
2019/1/3 19:00,17.7,7.38,2416,252,6.55
2019/1/3 20:00,17.6,7.39,2358,154,6.04
2019/1/3 21:00,17.7,7.41,1993,289,6.47
2019/1/3 22:00,17.7,7.39,1981,330,6.61
2019/1/3 23:00,17.8,7.36,2305,358,5.97
2019/1/4 0:00,17.5,7.46,1938,326,6.26
2019/1/4 1:00,17.6,7.42,1876,446,6.37
2019/1/4 2:00,17.5,7.36,2002,454,5.57
2019/1/4 3:00,17.7,7.36,2099,134,5.34
2019/1/4 4:00,17.5,7.41,1950,264,5.58
2019/1/4 5:00,17.5,7.38,1900,336,5.74
2019/1/4 6:00,17.5,7.38,1831,109,5.81
2019/1/4 7:00,17.6,7.35,1874,471,5.44
2019/1/4 8:00,17.6,7.31,2457,350,4.91
2019/1/4 9:00,17.8,7.35,2204,315,4.98
2019/1/4 10:00,18,7.43,1785,355,6.89
2019/1/4 11:00,18,7.37,1899,294,6.36
2019/1/4 12:00,17.8,7.3,2407,272,4.74
2019/1/4 13:00,18,7.37,2177,259,6.58
2019/1/4 14:00,18,7.31,2712,135,5.35
2019/1/4 15:00,18,7.39,2454,332,6.06
2019/1/4 16:00,18.4,7.48,2241,292,7.01
2019/1/4 17:00,18.6,7.39,2195,116,6.35
2019/1/4 18:00,18.5,7.49,1992,220,8.07
2019/1/4 19:00,18.4,7.48,2228,258,7.92
2019/1/4 20:00,18.3,7.56,2011,207,8.21
2019/1/4 21:00,18.4,7.46,2210,182,7.68
2019/1/4 22:00,18.4,7.44,2182,301,7.53
2019/1/4 23:00,18.4,7.43,2124,199,7.34
2019/1/5 0:00,18.3,7.46,2130,212,7.18
2019/1/5 1:00,18.4,7.38,2106,91,6.9
2019/1/5 2:00,18.4,7.4,1812,237,7.23
2019/1/5 3:00,18.4,7.36,2124,221,7.33
2019/1/5 4:00,18.3,7.38,1741,57,7.62
2019/1/5 5:00,18.4,7.33,1815,147,7.06
2019/1/5 6:00,18.4,7.32,1719,205,6.93
2019/1/5 7:00,18.4,7.31,1772,187,6.61
2019/1/5 8:00,18.3,7.33,1790,338,6.46
2019/1/5 9:00,18.4,7.25,2033,312,5.67
2019/1/5 10:00,18.5,7.28,1769,205,6.01
2019/1/5 11:00,18.5,7.23,1912,206,5.82
2019/1/5 12:00,18.6,7.42,1815,84,7.53
2019/1/5 13:00,18.5,7.24,2225,153,5.94
2019/1/5 14:00,18.7,7.32,2288,239,6.87
2019/1/5 15:00,18.6,7.32,2276,52,6.87
2019/1/5 16:00,18.6,7.37,2758,230,7.03
2019/1/5 17:00,18.9,7.41,2535,316,7.55
2019/1/5 18:00,18.8,7.36,2668,291,7.14
2019/1/5 19:00,18.8,7.36,2662,324,6.93
2019/1/5 20:00,18.8,7.37,141,309,6.62
2019/1/5 21:00,18.7,7.38,3258,420,7.27
2019/1/5 22:00,18.7,7.38,3267,238,6.6
2019/1/5 23:00,18.8,7.39,3236,130,6.38
2019/1/6 0:00,18.6,7.42,3205,270,6.43
2019/1/6 1:00,18.7,7.35,2986,262,6.15
2019/1/6 2:00,18.7,7.32,2986,112,5.87
2019/1/6 3:00,18.7,7.33,3299,227,5.82
2019/1/6 4:00,18.6,7.35,3083,183,5.56
2019/1/6 5:00,18.7,7.31,3014,182,5.66
