tem,PH,tur,elec,oxy
17.2,7.16,70,2529,5.74
17.2,7.17,76,1966,6.39
17.2,7.15,74,2257,6.48
17.2,7.14,67,1849,6.55
17.1,7.14,67,1494,6.86
17.1,7.12,68,2220,6.47
16.9,7.13,66,2049,6.32
16.8,7.13,60,2149,6.34
16.7,7.12,60,2153,6.5
16.7,7.12,60,2152,6.74
17,7.12,61,915,6.98
17.3,7.1,64,2318,5.97
17.3,7.12,62,2697,5.92
17.4,7.13,74,2925,6.25
17.5,7.15,98,2818,6.36
17.5,7.14,96,2551,6.03
17.7,7.15,98,2812,6.45
17.6,7.13,96,3033,6.06
17.7,7.15,93,2646,6.33
17.6,7.15,97,3061,6.04
17.4,7.15,94,3002,5.65
17.5,7.15,87,3099,5.7
17.5,7.16,84,2986,5.6
17.6,7.15,84,3099,5.84
17.5,7.14,87,3153,6.45
17.6,7.14,76,3358,5.66
17.6,7.17,77,3308,6.23
17.3,7.17,63,2897,5.75
17.2,7.14,64,850,5.34
17.2,7.15,64,2903,5.17
17.1,7.15,60,2177,5.13
17.1,7.14,63,2900,5.24
17,7.14,68,2913,5.08
17.2,7.14,65,2959,5.34
17.3,7.14,75,2238,5.6
17.4,7.14,82,2033,5.09
17.3,7.14,75,3248,5.22
17.4,7.15,69,3290,5.3
17.6,7.16,80,1769,5.13
17.7,7.15,77,3208,6.2
17.6,7.12,77,2576,5.62
17.8,7.13,74,2310,7.38
17.8,7.12,90,3220,6.39
17.7,7.13,92,3447,6.21
17.8,7.15,118,188,6.03
17.6,7.11,91,2962,7.01
17.6,7.1,97,2566,6.58
17.6,7.11,106,3102,6.03
17.4,7.12,82,2984,5.92
17.5,7.12,86,2968,5.59
17.4,7.14,78,3330,4.85
17.3,7.19,100,3579,4.2
17.5,7.21,91,224,4.52
17.3,7.19,70,2230,5.8
17.4,7.1,53,2024,6.3
17.5,7.12,39,1741,5.16
17.4,7.05,32,1448,6.73
17.6,7.05,35,1514,5.74
17.6,7.06,47,1654,4.87
17.7,7.09,45,1751,4.42
17.7,7.09,45,1738,4.78
17.7,7.08,43,1781,4.2
17.8,7.24,165,1806,6
17.8,7.28,151,1858,5.61
17.7,7.3,46,1996,5.3
17.6,7.34,186,2257,5.82
17.7,7.36,206,2238,6.12
17.7,7.38,252,2416,6.55
17.6,7.39,154,2358,6.04
17.7,7.41,289,1993,6.47
17.7,7.39,330,1981,6.61
17.8,7.36,358,2305,5.97
17.5,7.46,326,1938,6.26
17.6,7.42,446,1876,6.37
17.5,7.36,454,2002,5.57
17.7,7.36,134,2099,5.34
17.5,7.41,264,1950,5.58
17.5,7.38,336,1900,5.74
17.5,7.38,109,1831,5.81
17.6,7.35,471,1874,5.44
17.6,7.31,350,2457,4.91
17.8,7.35,315,2204,4.98
18,7.43,355,1785,6.89
18,7.37,294,1899,6.36
17.8,7.3,272,2407,4.74
18,7.37,259,2177,6.58
18,7.31,135,2712,5.35
18,7.39,332,2454,6.06
18.4,7.48,292,2241,7.01
18.6,7.39,116,2195,6.35
18.5,7.49,220,1992,8.07
18.4,7.48,258,2228,7.92
18.3,7.56,207,2011,8.21
18.4,7.46,182,2210,7.68
18.4,7.44,301,2182,7.53
18.4,7.43,199,2124,7.34
18.3,7.46,212,2130,7.18
18.4,7.38,91,2106,6.9
18.4,7.4,237,1812,7.23
18.4,7.36,221,2124,7.33
18.3,7.38,57,1741,7.62
18.4,7.33,147,1815,7.06
18.4,7.32,205,1719,6.93
18.4,7.31,187,1772,6.61
18.3,7.33,338,1790,6.46
18.4,7.25,312,2033,5.67
18.5,7.28,205,1769,6.01
18.5,7.23,206,1912,5.82
18.6,7.42,84,1815,7.53
18.5,7.24,153,2225,5.94
18.7,7.32,239,2288,6.87
18.6,7.32,52,2276,6.87
18.6,7.37,230,2758,7.03
18.9,7.41,316,2535,7.55
18.8,7.36,291,2668,7.14
18.8,7.36,324,2662,6.93
18.8,7.37,309,141,6.62
18.7,7.38,420,3258,7.27
18.7,7.38,238,3267,6.6
18.8,7.39,130,3236,6.38
18.6,7.42,270,3205,6.43
18.7,7.35,262,2986,6.15
18.7,7.32,112,2986,5.87
18.7,7.33,227,3299,5.82
18.6,7.35,183,3083,5.56
18.7,7.31,182,3014,5.66
18.6,7.3,216,2834,5.48
18.4,7.27,126,2576,5.25
18.4,7.27,184,2772,5.39
18.6,7.26,286,2971,5.09
18.4,7.3,88,2646,6.07
18.5,7.27,279,2617,6.14
18.4,7.28,228,2652,5.95
18.6,7.26,149,2696,5.77
18.6,7.3,248,2762,6.63
18.8,7.27,239,2842,6.22
18.5,7.27,348,3035,6.32
18.6,7.28,229,3090,6.12
18.5,7.27,258,3504,5.54
18.6,7.32,212,2989,6.53
18.5,7.29,252,3208,5.98
18.5,7.29,92,2978,6.26
18.4,7.28,186,2887,6.16
18.3,7.27,208,2826,5.88
18.4,7.27,86,3140,5.6
18.5,7.27,263,3115,5.48
18.5,7.27,198,3103,5.24
18.5,7.26,224,3137,5.14
18.4,7.27,197,3143,5
18.6,7.27,177,3271,4.95
18.4,7.27,182,3153,4.67
18.2,7.27,230,3026,4.8
18.2,7.25,86,3375,4.58
18.3,7.28,165,3036,4.53
18.3,7.25,252,3158,4.42
18.4,7.26,77,2971,4.11
18.3,7.24,225,3265,4.4
18.4,7.22,209,3208,4.96
18.5,7.25,268,3438,5.09
18.6,7.28,285,3140,6.05
18.6,7.28,175,2893,6.36
18.7,7.24,255,3008,5.97
18.7,7.24,209,3026,5.42
18.7,7.25,86,2931,5.44
18.6,7.25,158,2793,5.71
18.6,7.25,169,2554,6.29
18.5,7.23,36,2614,5.74
18.6,7.22,151,2351,5.63
18.5,7.23,168,2775,5.46
18.6,7.22,130,2691,5.42
18.6,7.22,179,2659,5.28
18.6,7.22,97,2747,5.32
18.3,7.22,187,2407,4.58
18.4,7.23,155,2790,4.46
18.4,7.25,105,3068,4.32
18.5,7.19,302,3205,5
18.6,7.24,191,2043,5.68
18.7,7.19,231,2152,3.95
18.8,7.23,404,2244,3.58
18.9,7.23,403,2201,4.43
19,7.23,496,2216,3.89
18.9,7.25,500,2235,3.48
19,7.48,254,2264,3.73
19.1,7.2,255,2283,4.05
19,7.35,247,2280,4.33
18.9,7.41,245,2241,4.49
18.9,7.45,282,2416,4.31
18.9,7.45,271,2544,3.9
18.9,7.46,258,2672,3.89
18.9,7.48,227,2694,3.76
18.8,7.49,164,2155,3.99
18.8,7.47,146,2260,3.8
18.7,7.46,139,2581,3.67
18.7,7.46,143,2494,3.52
18.8,7.45,212,2453,3.24
18.6,7.44,108,2516,3.18
18.6,7.43,123,2434,3.09
18.6,7.44,84,2459,3.12
18.5,7.43,67,2425,3.25
18.7,7.42,122,2621,2.55
18.8,7.45,157,3388,2.53
18.9,7.5,129,3420,3.57
18.8,7.51,201,3710,3.18
18.9,7.5,141,3660,2.82
19,7.52,159,2840,3.72
18.9,7.51,195,3491,3.05
19,7.56,162,3936,3.81
19.2,7.61,140,3855,4.6
18.8,7.57,187,4659,3.6
19,7.66,151,3871,4.59
18.9,7.67,165,4645,4.31
18.8,7.68,113,4199,4.75
18.8,7.68,128,4197,5.45
19,7.67,110,3283,4.66
18.9,7.65,106,4058,4.58
18.7,7.64,56,3264,5.06
18.6,7.62,55,3048,4.97
18.8,7.62,58,1379,4.94
18.8,7.6,62,3102,4.64
18.7,7.62,36,2472,5.54
18.4,7.6,26,942,5.56
18.4,7.57,24,2108,5.46
18.4,7.56,24,2087,5.11
18.4,7.55,44,2266,4.89
18.7,7.57,56,2599,4.93
18.8,7.56,72,2652,4.88
18.8,7.6,150,3855,4.48
19.2,7.65,91,2799,5.96
19.1,7.68,164,3452,5.57
19.6,7.76,110,2900,7.04
19.5,7.72,101,3216,6.45
19.8,7.78,87,3004,7.17
19.5,7.79,134,3706,6.62
19.6,7.83,155,3838,6.95
19.6,7.81,137,3886,6.7
19.5,7.77,139,4448,6.05
19.3,7.78,95,3889,6.69
19.3,7.75,114,3792,6.07
19.3,7.74,87,3991,6.03
19.2,7.76,73,3488,6.34
19.2,7.72,90,4141,5.74
19.2,7.71,82,3444,6.43
19.2,7.66,61,3565,5.48
19.2,7.63,64,3606,5.02
19.2,7.62,72,3656,4.94
19.2,7.6,63,1675,4.59
19.2,7.59,44,2878,4.91
19,7.6,31,2596,5.45
19.1,7.54,80,3229,4.55
19.2,7.56,67,3198,4.33
19.2,7.56,76,3001,4.88
19.3,7.55,87,3544,4.09
19.2,7.64,130,3101,5.52
19.3,7.64,132,3899,5.35
20.2,7.87,109,3171,7.91
19.7,7.69,125,3697,5.82
19.6,7.74,114,3133,6.11
19.9,7.85,177,3397,7.52
19.7,7.79,123,3659,6.98
19.7,7.78,110,3653,6.84
19.7,7.82,103,3513,7.07
19.7,7.82,95,3612,7.12
19.7,7.77,102,912,6.6
19.7,7.75,91,3672,5.95
19.6,7.71,80,3765,5.79
19.7,7.76,74,3599,7.02
19.7,7.69,86,3155,5.91
19.6,7.67,82,3744,5.45
19.4,7.67,72,2127,5.39
19.6,7.64,72,3491,5.37
19.5,7.61,67,3357,4.9
19.5,7.58,85,3360,4.48
19.5,7.57,84,3276,4.34
19.6,7.6,65,3450,4.8
19.7,7.65,58,3118,5.56
19.8,7.66,78,3023,5.87
19.7,7.65,70,3276,6.11
19.8,7.67,65,3326,5.92
20.3,7.94,60,2980,9
20.4,7.98,87,3222,8.63
20.4,7.99,132,3421,8.42
20.1,7.85,124,3646,7.05
20,7.79,115,3814,6.39
19.6,7.67,94,4542,4.72
19.6,7.71,99,4318,4.88
19.6,7.65,103,4138,4.31
19.8,7.74,106,4780,5.22
19.8,7.72,113,4536,4.84
19.7,7.76,74,4545,5.52
19.7,7.74,76,4504,5.27
19.8,7.73,85,4597,4.86
19.9,7.73,85,4771,4.6
19.7,7.71,63,4411,4.98
19.8,7.67,72,4560,4.53
19.7,7.66,77,4589,4.61
19.6,7.65,53,4343,4.53
19.6,7.63,67,4296,4.38
19.7,7.62,89,4511,4.12
