tem,PH,elec,tur,oxy
16.8,7,2267.4,71.7,5.9
17,7.1,2144.9,71.7,6.2
17.1,7.1,2056.9,70.8,6.4
17.1,7.1,1964.7,69.1,6.5
17.1,7.1,1919.2,67.4,6.6
17,7.1,1958.9,65.7,6.6
16.9,7.1,1980.4,63.7,6.5
16.9,7.1,1994.1,61.8,6.5
16.9,7.1,1989.5,60.8,6.5
16.9,7.1,1979.3,61,6.5
17,7.1,1992.6,62.7,6.5
17.2,7.1,2201.6,66,6.3
17.3,7.1,2426.2,71.1,6.2
17.4,7.1,2602.2,78.4,6.2
17.5,7.1,2702.6,86.3,6.2
17.5,7.1,2758.5,91.7,6.2
17.6,7.1,2824.2,94.9,6.2
17.6,7.1,2881.3,96,6.1
17.6,7.1,2913.6,95.8,6.1
17.6,7.1,2978.1,94.9,6
17.6,7.2,3028.2,92.7,5.9
17.5,7.2,3071.5,89.8,5.8
17.5,7.2,3096.8,86.9,5.8
17.5,7.2,3114.9,84.2,5.9
17.5,7.2,3101.8,81.1,5.9
17.5,7.2,3035.2,77,5.9
17.4,7.2,2877.2,72.8,5.8
17.4,7.2,2638.5,68.4,5.7
17.3,7.2,2401.1,65.5,5.5
17.2,7.1,2436.3,63.9,5.3
17.1,7.1,2478,63.3,5.2
17.1,7.1,2584.8,64.3,5.2
17.1,7.1,2647.1,66.4,5.2
17.2,7.1,2653.4,68.7,5.2
17.2,7.1,2609.8,71.6,5.3
17.3,7.1,2624.7,73.8,5.3
17.4,7.1,2723.5,74.5,5.3
17.5,7.1,2738.9,75,5.4
17.6,7.1,2665,76.4,5.6
17.6,7.1,2698.4,77.9,5.9
17.7,7.1,2660.8,80.1,6.1
17.7,7.1,2624.7,83.6,6.4
17.7,7.1,2618.1,88.9,6.5
17.7,7.1,2522.3,94.1,6.5
17.7,7.1,2338.7,98.3,6.5
17.7,7.1,2500.6,98.5,6.5
17.6,7.1,2657.8,98,6.3
17.6,7.1,2822.5,96.5,6.1
17.5,7.1,2905.5,92.8,5.8
17.4,7.1,2902.4,89.9,5.4
17.4,7.2,2798.3,87,5.2
17.4,7.2,2536.8,84,5
17.4,7.2,2110,77.1,5.1
17.4,7.2,1958.3,66.7,5.4
17.4,7.1,1825,55.4,5.6
17.5,7.1,1703.5,45.7,5.6
17.5,7.1,1615.8,39.6,5.7
17.6,7.1,1592.4,38.1,5.5
17.6,7.1,1617.3,41.2,5.2
17.7,7.1,1664.1,47.8,5
17.7,7.1,1716.6,59.3,4.9
17.7,7.1,1778.9,77,5
17.7,7.2,1852.5,101.6,5.2
17.7,7.3,1942.2,118.9,5.4
17.7,7.3,2046.9,133.7,5.6
17.7,7.3,2150.1,162.8,5.8
17.7,7.4,2217.8,191.3,6.1
17.7,7.4,2250.8,218.6,6.2
17.7,7.4,2229.2,242.8,6.3
17.7,7.4,2167.5,279.3,6.4
17.7,7.4,2119.8,312.8,6.3
17.7,7.4,2088.9,337.8,6.2
17.6,7.4,2031.8,351.1,6.2
17.6,7.4,1993.5,356.5,6
17.6,7.4,1981.1,339,5.8
17.6,7.4,1973.6,301.7,5.7
17.5,7.4,1955.6,289.9,5.6
17.5,7.4,1947.9,289.8,5.6
17.6,7.4,1961.6,291.8,5.5
17.6,7.4,2007.3,321,5.5
17.7,7.4,2074.3,328.4,5.5
17.8,7.4,2086.8,325.7,5.6
17.8,7.4,2085.6,317.5,5.8
17.9,7.4,2138.2,298.9,5.8
17.9,7.4,2234.2,278.1,5.8
18,7.4,2304.1,258.6,5.9
18.1,7.4,2367.3,242.5,6
18.2,7.4,2352.7,243.5,6.3
18.3,7.4,2295.8,234,6.7
18.4,7.4,2233,218.1,7
18.4,7.5,2178.1,218.4,7.4
18.4,7.5,2157.9,221.1,7.7
18.4,7.5,2139.6,219.4,7.8
18.4,7.5,2143.4,218.4,7.7
18.4,7.5,2136.9,219.8,7.6
18.4,7.4,2116.2,207.2,7.5
18.4,7.4,2083.6,193.2,7.3
18.4,7.4,2034.3,177.9,7.3
18.4,7.4,1969.6,176.4,7.2
18.4,7.4,1923.6,170.2,7.2
18.4,7.4,1855.6,162.1,7.2
18.4,7.3,1812.5,174.9,7
18.4,7.3,1786.4,197.4,6.8
18.4,7.3,1788.3,220,6.6
18.4,7.3,1810.6,241.3,6.4
18.4,7.3,1849.2,239.5,6.2
18.5,7.3,1877.4,218.2,6.2
18.5,7.3,1936.5,193.9,6.3
18.5,7.3,2019.3,171.1,6.5
18.6,7.3,2142.4,167.9,6.6
18.6,7.3,2255.5,176.3,6.7
18.7,7.3,2350.2,186.5,6.9
18.7,7.4,2427,222.4,7
18.8,7.4,2427.7,260.4,7.1
18.8,7.4,2390.3,287.3,7.1
18.8,7.4,2323.8,305.3,7
18.8,7.4,2276.4,310.3,6.9
18.8,7.4,2583.2,303.6,6.9
18.7,7.4,2837.4,272.6,6.7
18.7,7.4,3005.3,243,6.5
18.7,7.4,3091.6,230.1,6.3
18.7,7.4,3115.7,214.6,6.1
18.7,7.3,3121.2,195.8,5.9
18.7,7.3,3114.8,191.5,5.8
18.6,7.3,3057.1,186.1,5.6
18.6,7.3,2975.1,183.5,5.5
18.6,7.3,2881.1,183,5.5
18.5,7.3,2801.4,180.8,5.4
18.5,7.3,2766.6,188.3,5.4
18.5,7.3,2743.9,197.8,5.5
18.5,7.3,2702.1,196.8,5.7
18.5,7.3,2682.9,210.7,5.9
18.5,7.3,2695.2,216.7,6
18.6,7.3,2738.3,222.1,6.1
18.6,7.3,2808.9,237.9,6.2
18.6,7.3,2900.5,251.5,6.2
18.6,7.3,3002.2,261.4,6.2
18.6,7.3,3087.1,252.9,6.2
18.6,7.3,3143.9,241,6.1
18.5,7.3,3122.6,223,6.2
18.5,7.3,3094.4,205,6.1
18.5,7.3,3043.2,183.2,6.1
18.4,7.3,3006.6,178.2,6
18.4,7.3,3003.4,177.7,5.9
18.4,7.3,3040.8,178.1,5.7
18.5,7.3,3074.7,192.8,5.5
18.5,7.3,3104.6,198,5.3
18.5,7.3,3132.3,200,5.2
18.4,7.3,3154.6,195.7,5
18.4,7.3,3171,188.9,4.9
18.4,7.3,3167.1,182.9,4.7
18.3,7.3,3161.1,177,4.6
18.3,7.3,3170.3,166.5,4.5
18.3,7.3,3152.6,170.5,4.5
18.3,7.3,3152.5,179.2,4.4
18.3,7.3,3158.4,182,4.5
18.4,7.2,3190.6,201.3,4.7
18.4,7.2,3205.5,218,5
18.5,7.3,3200.2,232,5.3
18.6,7.3,3141.1,234,5.6
18.6,7.3,3066.2,221.7,5.8
18.6,7.3,3006.5,209.1,5.8
18.7,7.3,2940.8,186.3,5.8
18.7,7.2,2857.5,159.8,5.8
