PH,oxy,tur,elec,tem
7,5.9,71.7,2267.4,16.8
7.1,6.2,71.7,2144.9,17
7.1,6.4,70.8,2056.9,17.1
7.1,6.5,69.1,1964.7,17.1
7.1,6.6,67.4,1919.2,17.1
7.1,6.6,65.7,1958.9,17
7.1,6.5,63.7,1980.4,16.9
7.1,6.5,61.8,1994.1,16.9
7.1,6.5,60.8,1989.5,16.9
7.1,6.5,61,1979.3,16.9
7.1,6.5,62.7,1992.6,17
7.1,6.3,66,2201.6,17.2
7.1,6.2,71.1,2426.2,17.3
7.1,6.2,78.4,2602.2,17.4
7.1,6.2,86.3,2702.6,17.5
7.1,6.2,91.7,2758.5,17.5
7.1,6.2,94.9,2824.2,17.6
7.1,6.1,96,2881.3,17.6
7.1,6.1,95.8,2913.6,17.6
7.1,6,94.9,2978.1,17.6
7.2,5.9,92.7,3028.2,17.6
7.2,5.8,89.8,3071.5,17.5
7.2,5.8,86.9,3096.8,17.5
7.2,5.9,84.2,3114.9,17.5
7.2,5.9,81.1,3101.8,17.5
7.2,5.9,77,3035.2,17.5
7.2,5.8,72.8,2877.2,17.4
7.2,5.7,68.4,2638.5,17.4
7.2,5.5,65.5,2401.1,17.3
7.1,5.3,63.9,2436.3,17.2
7.1,5.2,63.3,2478,17.1
7.1,5.2,64.3,2584.8,17.1
7.1,5.2,66.4,2647.1,17.1
7.1,5.2,68.7,2653.4,17.2
7.1,5.3,71.6,2609.8,17.2
7.1,5.3,73.8,2624.7,17.3
7.1,5.3,74.5,2723.5,17.4
7.1,5.4,75,2738.9,17.5
7.1,5.6,76.4,2665,17.6
7.1,5.9,77.9,2698.4,17.6
7.1,6.1,80.1,2660.8,17.7
7.1,6.4,83.6,2624.7,17.7
7.1,6.5,88.9,2618.1,17.7
7.1,6.5,94.1,2522.3,17.7
7.1,6.5,98.3,2338.7,17.7
7.1,6.5,98.5,2500.6,17.7
7.1,6.3,98,2657.8,17.6
7.1,6.1,96.5,2822.5,17.6
7.1,5.8,92.8,2905.5,17.5
7.1,5.4,89.9,2902.4,17.4
7.2,5.2,87,2798.3,17.4
7.2,5,84,2536.8,17.4
7.2,5.1,77.1,2110,17.4
7.2,5.4,66.7,1958.3,17.4
7.1,5.6,55.4,1825,17.4
7.1,5.6,45.7,1703.5,17.5
7.1,5.7,39.6,1615.8,17.5
7.1,5.5,38.1,1592.4,17.6
7.1,5.2,41.2,1617.3,17.6
7.1,5,47.8,1664.1,17.7
7.1,4.9,59.3,1716.6,17.7
7.1,5,77,1778.9,17.7
7.2,5.2,101.6,1852.5,17.7
7.3,5.4,118.9,1942.2,17.7
7.3,5.6,133.7,2046.9,17.7
7.3,5.8,162.8,2150.1,17.7
7.4,6.1,191.3,2217.8,17.7
7.4,6.2,218.6,2250.8,17.7
7.4,6.3,242.8,2229.2,17.7
7.4,6.4,279.3,2167.5,17.7
7.4,6.3,312.8,2119.8,17.7
7.4,6.2,337.8,2088.9,17.7
7.4,6.2,351.1,2031.8,17.6
7.4,6,356.5,1993.5,17.6
7.4,5.8,339,1981.1,17.6
7.4,5.7,301.7,1973.6,17.6
7.4,5.6,289.9,1955.6,17.5
7.4,5.6,289.8,1947.9,17.5
7.4,5.5,291.8,1961.6,17.6
7.4,5.5,321,2007.3,17.6
7.4,5.5,328.4,2074.3,17.7
7.4,5.6,325.7,2086.8,17.8
7.4,5.8,317.5,2085.6,17.8
7.4,5.8,298.9,2138.2,17.9
7.4,5.8,278.1,2234.2,17.9
7.4,5.9,258.6,2304.1,18
7.4,6,242.5,2367.3,18.1
7.4,6.3,243.5,2352.7,18.2
7.4,6.7,234,2295.8,18.3
7.4,7,218.1,2233,18.4
7.5,7.4,218.4,2178.1,18.4
7.5,7.7,221.1,2157.9,18.4
7.5,7.8,219.4,2139.6,18.4
7.5,7.7,218.4,2143.4,18.4
7.5,7.6,219.8,2136.9,18.4
7.4,7.5,207.2,2116.2,18.4
7.4,7.3,193.2,2083.6,18.4
7.4,7.3,177.9,2034.3,18.4
7.4,7.2,176.4,1969.6,18.4
7.4,7.2,170.2,1923.6,18.4
7.4,7.2,162.1,1855.6,18.4
7.3,7,174.9,1812.5,18.4
7.3,6.8,197.4,1786.4,18.4
7.3,6.6,220,1788.3,18.4
7.3,6.4,241.3,1810.6,18.4
7.3,6.2,239.5,1849.2,18.4
7.3,6.2,218.2,1877.4,18.5
7.3,6.3,193.9,1936.5,18.5
7.3,6.5,171.1,2019.3,18.5
7.3,6.6,167.9,2142.4,18.6
7.3,6.7,176.3,2255.5,18.6
7.3,6.9,186.5,2350.2,18.7
7.4,7,222.4,2427,18.7
7.4,7.1,260.4,2427.7,18.8
7.4,7.1,287.3,2390.3,18.8
7.4,7,305.3,2323.8,18.8
7.4,6.9,310.3,2276.4,18.8
7.4,6.9,303.6,2583.2,18.8
7.4,6.7,272.6,2837.4,18.7
7.4,6.5,243,3005.3,18.7
7.4,6.3,230.1,3091.6,18.7
7.4,6.1,214.6,3115.7,18.7
7.3,5.9,195.8,3121.2,18.7
7.3,5.8,191.5,3114.8,18.7
7.3,5.6,186.1,3057.1,18.6
7.3,5.5,183.5,2975.1,18.6
7.3,5.5,183,2881.1,18.6
7.3,5.4,180.8,2801.4,18.5
7.3,5.4,188.3,2766.6,18.5
7.3,5.5,197.8,2743.9,18.5
7.3,5.7,196.8,2702.1,18.5
7.3,5.9,210.7,2682.9,18.5
7.3,6,216.7,2695.2,18.5
7.3,6.1,222.1,2738.3,18.6
7.3,6.2,237.9,2808.9,18.6
7.3,6.2,251.5,2900.5,18.6
7.3,6.2,261.4,3002.2,18.6
7.3,6.2,252.9,3087.1,18.6
7.3,6.1,241,3143.9,18.6
7.3,6.2,223,3122.6,18.5
7.3,6.1,205,3094.4,18.5
7.3,6.1,183.2,3043.2,18.5
