Temperature,Turbidity,Turbidity,PH,Dissolved oxygen
17.2,70,2529,7.16,5.74
17.2,76,1966,7.17,6.39
17.2,74,2257,7.15,6.48
17.2,67,1849,7.14,6.55
17.1,67,1494,7.14,6.86
17.1,68,2220,7.12,6.47
16.9,66,2049,7.13,6.32
16.8,60,2149,7.13,6.34
16.7,60,2153,7.12,6.5
16.7,60,2152,7.12,6.74
17,61,915,7.12,6.98
17.3,64,2318,7.1,5.97
17.3,62,2697,7.12,5.92
17.4,74,2925,7.13,6.25
17.5,98,2818,7.15,6.36
17.5,96,2551,7.14,6.03
17.7,98,2812,7.15,6.45
17.6,96,3033,7.13,6.06
17.7,93,2646,7.15,6.33
17.6,97,3061,7.15,6.04
17.4,94,3002,7.15,5.65
17.5,87,3099,7.15,5.7
17.5,84,2986,7.16,5.6
17.6,84,3099,7.15,5.84
17.5,87,3153,7.14,6.45
17.6,76,3358,7.14,5.66
17.6,77,3308,7.17,6.23
17.3,63,2897,7.17,5.75
17.2,64,850,7.14,5.34
17.2,64,2903,7.15,5.17
17.1,60,2177,7.15,5.13
17.1,63,2900,7.14,5.24
17,68,2913,7.14,5.08
17.2,65,2959,7.14,5.34
17.3,75,2238,7.14,5.6
17.4,82,2033,7.14,5.09
17.3,75,3248,7.14,5.22
17.4,69,3290,7.15,5.3
17.6,80,1769,7.16,5.13
17.7,77,3208,7.15,6.2
17.6,77,2576,7.12,5.62
17.8,74,2310,7.13,7.38
17.8,90,3220,7.12,6.39
17.7,92,3447,7.13,6.21
17.8,118,188,7.15,6.03
17.6,91,2962,7.11,7.01
17.6,97,2566,7.1,6.58
17.6,106,3102,7.11,6.03
17.4,82,2984,7.12,5.92
17.5,86,2968,7.12,5.59
17.4,78,3330,7.14,4.85
17.3,100,3579,7.19,4.2
17.5,91,224,7.21,4.52
17.3,70,2230,7.19,5.8
17.4,53,2024,7.1,6.3
17.5,39,1741,7.12,5.16
17.4,32,1448,7.05,6.73
17.6,35,1514,7.05,5.74
17.6,47,1654,7.06,4.87
17.7,45,1751,7.09,4.42
17.7,45,1738,7.09,4.78
17.7,43,1781,7.08,4.2
17.8,165,1806,7.24,6
17.8,151,1858,7.28,5.61
17.7,46,1996,7.3,5.3
17.6,186,2257,7.34,5.82
17.7,206,2238,7.36,6.12
17.7,252,2416,7.38,6.55
17.6,154,2358,7.39,6.04
17.7,289,1993,7.41,6.47
17.7,330,1981,7.39,6.61
17.8,358,2305,7.36,5.97
17.5,326,1938,7.46,6.26
17.6,446,1876,7.42,6.37
17.5,454,2002,7.36,5.57
17.7,134,2099,7.36,5.34
17.5,264,1950,7.41,5.58
17.5,336,1900,7.38,5.74
17.5,109,1831,7.38,5.81
17.6,471,1874,7.35,5.44
17.6,350,2457,7.31,4.91
17.8,315,2204,7.35,4.98
18,355,1785,7.43,6.89
18,294,1899,7.37,6.36
17.8,272,2407,7.3,4.74
18,259,2177,7.37,6.58
18,135,2712,7.31,5.35
18,332,2454,7.39,6.06
18.4,292,2241,7.48,7.01
18.6,116,2195,7.39,6.35
18.5,220,1992,7.49,8.07
18.4,258,2228,7.48,7.92
18.3,207,2011,7.56,8.21
18.4,182,2210,7.46,7.68
18.4,301,2182,7.44,7.53
18.4,199,2124,7.43,7.34
18.3,212,2130,7.46,7.18
18.4,91,2106,7.38,6.9
18.4,237,1812,7.4,7.23
18.4,221,2124,7.36,7.33
18.3,57,1741,7.38,7.62
18.4,147,1815,7.33,7.06
18.4,205,1719,7.32,6.93
18.4,187,1772,7.31,6.61
18.3,338,1790,7.33,6.46
18.4,312,2033,7.25,5.67
18.5,205,1769,7.28,6.01
18.5,206,1912,7.23,5.82
18.6,84,1815,7.42,7.53
18.5,153,2225,7.24,5.94
18.7,239,2288,7.32,6.87
18.6,52,2276,7.32,6.87
18.6,230,2758,7.37,7.03
18.9,316,2535,7.41,7.55
18.8,291,2668,7.36,7.14
18.8,324,2662,7.36,6.93
18.8,309,141,7.37,6.62
18.7,420,3258,7.38,7.27
18.7,238,3267,7.38,6.6
18.8,130,3236,7.39,6.38
18.6,270,3205,7.42,6.43
18.7,262,2986,7.35,6.15
18.7,112,2986,7.32,5.87
18.7,227,3299,7.33,5.82
18.6,183,3083,7.35,5.56
18.7,182,3014,7.31,5.66
18.6,216,2834,7.3,5.48
18.4,126,2576,7.27,5.25
18.4,184,2772,7.27,5.39
18.6,286,2971,7.26,5.09
18.4,88,2646,7.3,6.07
18.5,279,2617,7.27,6.14
18.4,228,2652,7.28,5.95
18.6,149,2696,7.26,5.77
18.6,248,2762,7.3,6.63
18.8,239,2842,7.27,6.22
18.5,348,3035,7.27,6.32
18.6,229,3090,7.28,6.12
18.5,258,3504,7.27,5.54
18.6,212,2989,7.32,6.53
18.5,252,3208,7.29,5.98
18.5,92,2978,7.29,6.26
18.4,186,2887,7.28,6.16
18.3,208,2826,7.27,5.88
18.4,86,3140,7.27,5.6
18.5,263,3115,7.27,5.48
18.5,198,3103,7.27,5.24
18.5,224,3137,7.26,5.14
18.4,197,3143,7.27,5
18.6,177,3271,7.27,4.95
18.4,182,3153,7.27,4.67
18.2,230,3026,7.27,4.8
18.2,86,3375,7.25,4.58
18.3,165,3036,7.28,4.53
18.3,252,3158,7.25,4.42
18.4,77,2971,7.26,4.11
18.3,225,3265,7.24,4.4
18.4,209,3208,7.22,4.96
18.5,268,3438,7.25,5.09
18.6,285,3140,7.28,6.05
18.6,175,2893,7.28,6.36
18.7,255,3008,7.24,5.97
18.7,209,3026,7.24,5.42
18.7,86,2931,7.25,5.44
18.6,158,2793,7.25,5.71
18.6,169,2554,7.25,6.29
18.5,36,2614,7.23,5.74
18.6,151,2351,7.22,5.63
18.5,168,2775,7.23,5.46
18.6,130,2691,7.22,5.42
18.6,179,2659,7.22,5.28
18.6,97,2747,7.22,5.32
18.3,187,2407,7.22,4.58
18.4,155,2790,7.23,4.46
18.4,105,3068,7.25,4.32
18.5,302,3205,7.19,5
18.6,191,2043,7.24,5.68
18.7,231,2152,7.19,3.95
18.8,404,2244,7.23,3.58
18.9,403,2201,7.23,4.43
19,496,2216,7.23,3.89
18.9,500,2235,7.25,3.48
19,254,2264,7.48,3.73
19.1,255,2283,7.2,4.05
19,247,2280,7.35,4.33
18.9,245,2241,7.41,4.49
