tem,PH,elec,tur,oxy
16.71,6.96,2341.01,70.09,5.72
17.02,7.08,2136.32,72.64,6.19
17.16,7.13,2060.82,72.08,6.45
17.18,7.15,1893.27,69.36,6.59
17.13,7.14,1814.01,67.82,6.66
17.05,7.13,1998.89,66.69,6.54
16.92,7.13,2055.32,64.52,6.44
16.81,7.13,2085.54,61.49,6.44
16.76,7.12,2040.03,60.07,6.54
16.81,7.12,1911.13,59.81,6.64
16.99,7.12,1708.47,60.80,6.60
17.19,7.11,2143.25,63.34,6.26
17.31,7.12,2528.65,67.61,6.12
17.41,7.13,2752.52,77.50,6.18
17.49,7.14,2781.64,89.89,6.23
17.55,7.14,2739.14,95.18,6.20
17.63,7.14,2810.51,97.24,6.27
17.64,7.14,2880.12,96.76,6.19
17.64,7.15,2852.21,95.54,6.16
17.58,7.15,2962.66,95.10,5.99
17.50,7.15,3012.48,92.63,5.79
17.50,7.15,3058.49,88.71,5.72
17.52,7.15,3072.41,85.90,5.74
17.55,7.15,3135.12,84.47,5.90
17.55,7.15,3195.73,82.90,6.08
17.56,7.15,3213.72,77.89,5.96
17.50,7.16,3030.40,73.48,5.96
17.36,7.16,2586.07,67.02,5.72
17.24,7.15,2009.81,64.13,5.44
17.17,7.15,2338.22,62.70,5.25
17.11,7.15,2430.30,61.80,5.17
17.09,7.14,2698.82,63.38,5.18
17.09,7.14,2793.58,66.25,5.19
17.18,7.14,2733.12,68.69,5.29
17.27,7.14,2501.57,73.61,5.35
17.34,7.14,2493.93,76.82,5.23
17.37,7.14,2827.39,75.47,5.23
17.45,7.15,2849.23,74.06,5.29
17.56,7.15,2547.74,76.27,5.45
17.65,7.14,2751.39,76.59,5.88
17.68,7.13,2671.88,77.43,6.12
17.75,7.13,2643.14,80.13,6.62
17.77,7.13,2793.51,88.30,6.51
17.75,7.13,2586.35,95.69,6.39
17.73,7.13,1860.98,103.50,6.40
17.65,7.12,2370.95,99.30,6.61
17.60,7.11,2634.51,98.42,6.47
17.55,7.11,2927.20,97.18,6.15
17.47,7.12,3038.88,89.52,5.82
17.45,7.13,3083.31,87.08,5.41
17.40,7.15,3062.16,86.34,4.92
17.37,7.18,2697.67,90.09,4.64
17.40,7.19,1730.85,84.19,4.87
17.37,7.17,1844.18,70.14,5.47
17.40,7.13,1826.29,54.77,5.84
17.45,7.10,1699.15,42.17,5.80
17.48,7.07,1567.42,35.45,6.02
17.56,7.06,1559.41,35.55,5.63
17.61,7.06,1626.05,40.11,5.07
17.67,7.08,1695.94,44.21,4.70
17.71,7.09,1734.73,53.15,4.68
17.73,7.13,1775.09,74.08,4.78
17.77,7.21,1824.09,117.03,5.36
17.76,7.26,1905.08,125.51,5.51
17.71,7.30,2034.84,117.78,5.58
17.67,7.34,2188.04,162.23,5.83
17.67,7.36,2270.11,194.98,6.10
17.67,7.38,2325.41,218.15,6.31
17.66,7.39,2270.35,221.59,6.30
17.69,7.40,2129.47,274.23,6.40
17.70,7.40,2081.69,319.27,6.41
17.69,7.40,2107.80,350.52,6.24
17.60,7.42,2007.13,366.76,6.20
17.58,7.41,1959.78,392.97,6.08
17.56,7.38,1985.39,362.77,5.74
17.58,7.38,2004.22,264.08,5.56
