0,1,2,3
0.803653,0.88395053,0.33003733,0.16
0.80821925,0.882716,0.59850746,0.154
0.803653,0.8790123,0.48059702,0.154
0.8127854,0.8802469,0.43097016,0.148
0.8127854,0.8790123,0.6007463,0.18
0.80821925,0.8802469,0.64309704,0.184
0.8127854,0.882716,0.035074625,0.236
0.803653,0.87777776,0.55261195,0.182
0.803653,0.87654316,0.47873133,0.194
0.803653,0.87777776,0.57873136,0.212
0.79452056,0.8790123,0.55671644,0.164
0.79908675,0.8790123,0.5537313,0.172
0.8127854,0.93086416,0.8210821,0.108
0.8127854,0.93086416,0.79384327,0.072
0.82191783,0.9209876,0.875,0.112
0.8173516,0.9209876,0.8432836,0.108
0.803653,0.92469126,0.8212687,0.092
0.82191783,0.9148148,0.89235073,0.086
0.82191783,0.9209876,0.8852612,0.082
0.8127854,0.9172839,0.86958957,0.076
0.79908675,0.9209876,0.85186565,0.072
0.7899543,0.93086416,0.8033582,0.072
0.79452056,0.93209875,0.76492536,0.072
0.79908675,0.9358024,0.7783582,0.09
0.84474885,0.89259255,0.48768657,0.072
0.8493151,0.89135796,0.4386194,0.302
0.84474885,0.89259255,0.51772386,0.336
0.8493151,0.89135796,0.50205225,0.26
0.8493151,0.89135796,0.4960821,0.358
0.8493151,0.89135796,0.5125,0.194
0.8356164,0.89135796,0.44906718,0.374
0.84018266,0.89259255,0.5205224,0.31
0.84018266,0.8950617,0.57238805,0.21
0.84474885,0.8876543,0.5979478,0.604
0.8493151,0.8938271,0.3811567,0.382
0.8538813,0.8876543,0.40149254,0.462
0.9452055,0.9925925,0.55951494,0.144
0.94977164,0.9913579,0.48675373,0.128
0.9452055,1,0.5072761,0.104
0.93607306,0.98395056,0.5339552,0.088
0.9223745,0.9592592,0.57929105,0.108
0.9315069,0.96790123,0.49477613,0.098
0.91780823,0.9444444,0.5781717,0.118
0.91780823,0.94691354,0.53208953,0.1
0.91780823,0.9518518,0.31902984,0.084
0.91324204,0.9382715,0.63675374,0.1
0.9086758,0.9358024,0.686194,0.106
0.9086758,0.937037,0.5983209,0.102
0.8584475,0.9209876,0.6686567,0.106
0.8630137,0.9185185,0.7720149,0.132
0.8630137,0.919753,0.7,0.13
0.8630137,0.92222214,0.756903,0.164
0.8630137,0.9209876,0.675,0.136
0.8630137,0.9185185,0.76679105,0.156
0.8584475,0.9172839,0.776306,0.128
0.8538813,0.92222214,0.7046642,0.106
0.8493151,0.91604936,0.7046642,0.098
0.84018266,0.91604936,0.6669776,0.08
0.8356164,0.91234565,0.6850746,0.088
0.8356164,0.9148148,0.55708957,0.094
