PH,oxy,elec,tur,tem
7.16,5.74,2529,70,17.2
7.17,6.39,1966,76,17.2
7.15,6.48,2257,74,17.2
7.14,6.55,1849,67,17.2
7.14,6.86,1494,67,17.1
7.12,6.47,2220,68,17.1
7.13,6.32,2049,66,16.9
7.13,6.34,2149,60,16.8
7.12,6.5,2153,60,16.7
7.12,6.74,2152,60,16.7
7.12,6.98,915,61,17
7.1,5.97,2318,64,17.3
7.12,5.92,2697,62,17.3
7.13,6.25,2925,74,17.4
7.15,6.36,2818,98,17.5
7.14,6.03,2551,96,17.5
7.15,6.45,2812,98,17.7
7.13,6.06,3033,96,17.6
7.15,6.33,2646,93,17.7
7.15,6.04,3061,97,17.6
7.15,5.65,3002,94,17.4
7.15,5.7,3099,87,17.5
7.16,5.6,2986,84,17.5
7.15,5.84,3099,84,17.6
7.14,6.45,3153,87,17.5
7.14,5.66,3358,76,17.6
7.17,6.23,3308,77,17.6
7.17,5.75,2897,63,17.3
7.14,5.34,850,64,17.2
7.15,5.17,2903,64,17.2
7.15,5.13,2177,60,17.1
7.14,5.24,2900,63,17.1
7.14,5.08,2913,68,17
7.14,5.34,2959,65,17.2
7.14,5.6,2238,75,17.3
7.14,5.09,2033,82,17.4
7.14,5.22,3248,75,17.3
7.15,5.3,3290,69,17.4
7.16,5.13,1769,80,17.6
7.15,6.2,3208,77,17.7
7.12,5.62,2576,77,17.6
7.13,7.38,2310,74,17.8
7.12,6.39,3220,90,17.8
7.13,6.21,3447,92,17.7
7.15,6.03,188,118,17.8
7.11,7.01,2962,91,17.6
7.1,6.58,2566,97,17.6
7.11,6.03,3102,106,17.6
7.12,5.92,2984,82,17.4
7.12,5.59,2968,86,17.5
7.14,4.85,3330,78,17.4
7.19,4.2,3579,100,17.3
7.21,4.52,224,91,17.5
7.19,5.8,2230,70,17.3
7.1,6.3,2024,53,17.4
7.12,5.16,1741,39,17.5
7.05,6.73,1448,32,17.4
7.05,5.74,1514,35,17.6
7.06,4.87,1654,47,17.6
7.09,4.42,1751,45,17.7
7.09,4.78,1738,45,17.7
7.08,4.2,1781,43,17.7
7.24,6,1806,165,17.8
7.28,5.61,1858,151,17.8
7.3,5.3,1996,46,17.7
7.34,5.82,2257,186,17.6
7.36,6.12,2238,206,17.7
7.38,6.55,2416,252,17.7
7.39,6.04,2358,154,17.6
7.41,6.47,1993,289,17.7
7.39,6.61,1981,330,17.7
7.36,5.97,2305,358,17.8
7.46,6.26,1938,326,17.5
7.42,6.37,1876,446,17.6
7.36,5.57,2002,454,17.5
7.36,5.34,2099,134,17.7
7.41,5.58,1950,264,17.5
7.38,5.74,1900,336,17.5
7.38,5.81,1831,109,17.5
7.35,5.44,1874,471,17.6
7.31,4.91,2457,350,17.6
7.35,4.98,2204,315,17.8
7.43,6.89,1785,355,18
7.37,6.36,1899,294,18
7.3,4.74,2407,272,17.8
7.37,6.58,2177,259,18
7.31,5.35,2712,135,18
7.39,6.06,2454,332,18
7.48,7.01,2241,292,18.4
7.39,6.35,2195,116,18.6
7.49,8.07,1992,220,18.5
7.48,7.92,2228,258,18.4
7.56,8.21,2011,207,18.3
7.46,7.68,2210,182,18.4
7.44,7.53,2182,301,18.4
7.43,7.34,2124,199,18.4
7.46,7.18,2130,212,18.3
7.38,6.9,2106,91,18.4
7.4,7.23,1812,237,18.4
7.36,7.33,2124,221,18.4
7.38,7.62,1741,57,18.3
7.33,7.06,1815,147,18.4
7.32,6.93,1719,205,18.4
7.31,6.61,1772,187,18.4
7.33,6.46,1790,338,18.3
7.25,5.67,2033,312,18.4
7.28,6.01,1769,205,18.5
7.23,5.82,1912,206,18.5
7.42,7.53,1815,84,18.6
7.24,5.94,2225,153,18.5
7.32,6.87,2288,239,18.7
7.32,6.87,2276,52,18.6
7.37,7.03,2758,230,18.6
7.41,7.55,2535,316,18.9
7.36,7.14,2668,291,18.8
7.36,6.93,2662,324,18.8
7.37,6.62,141,309,18.8
7.38,7.27,3258,420,18.7
7.38,6.6,3267,238,18.7
7.39,6.38,3236,130,18.8
7.42,6.43,3205,270,18.6
7.35,6.15,2986,262,18.7
7.32,5.87,2986,112,18.7
7.33,5.82,3299,227,18.7
7.35,5.56,3083,183,18.6
7.31,5.66,3014,182,18.7
7.3,5.48,2834,216,18.6
7.27,5.25,2576,126,18.4
7.27,5.39,2772,184,18.4
7.26,5.09,2971,286,18.6
7.3,6.07,2646,88,18.4
7.27,6.14,2617,279,18.5
7.28,5.95,2652,228,18.4
7.26,5.77,2696,149,18.6
7.3,6.63,2762,248,18.6
7.27,6.22,2842,239,18.8
7.27,6.32,3035,348,18.5
7.28,6.12,3090,229,18.6
7.27,5.54,3504,258,18.5
7.32,6.53,2989,212,18.6
7.29,5.98,3208,252,18.5
7.29,6.26,2978,92,18.5
7.28,6.16,2887,186,18.4
7.27,5.88,2826,208,18.3
7.27,5.6,3140,86,18.4
7.27,5.48,3115,263,18.5
7.27,5.24,3103,198,18.5
7.26,5.14,3137,224,18.5
7.27,5,3143,197,18.4
7.27,4.95,3271,177,18.6
7.27,4.67,3153,182,18.4
7.27,4.8,3026,230,18.2
7.25,4.58,3375,86,18.2
7.28,4.53,3036,165,18.3
7.25,4.42,3158,252,18.3
7.26,4.11,2971,77,18.4
7.24,4.4,3265,225,18.3
7.22,4.96,3208,209,18.4
7.25,5.09,3438,268,18.5
7.28,6.05,3140,285,18.6
7.28,6.36,2893,175,18.6
7.24,5.97,3008,255,18.7
7.24,5.42,3026,209,18.7
7.25,5.44,2931,86,18.7
7.25,5.71,2793,158,18.6
7.25,6.29,2554,169,18.6
7.23,5.74,2614,36,18.5
7.22,5.63,2351,151,18.6
7.23,5.46,2775,168,18.5
7.22,5.42,2691,130,18.6
7.22,5.28,2659,179,18.6
7.22,5.32,2747,97,18.6
7.22,4.58,2407,187,18.3
7.23,4.46,2790,155,18.4
7.25,4.32,3068,105,18.4
7.19,5,3205,302,18.5
7.24,5.68,2043,191,18.6
7.19,3.95,2152,231,18.7
7.23,3.58,2244,404,18.8
7.23,4.43,2201,403,18.9
7.23,3.89,2216,496,19
7.25,3.48,2235,500,18.9
7.48,3.73,2264,254,19
7.2,4.05,2283,255,19.1
7.35,4.33,2280,247,19
7.41,4.49,2241,245,18.9
7.45,4.31,2416,282,18.9
7.45,3.9,2544,271,18.9
7.46,3.89,2672,258,18.9
7.48,3.76,2694,227,18.9
7.49,3.99,2155,164,18.8
7.47,3.8,2260,146,18.8
7.46,3.67,2581,139,18.7
7.46,3.52,2494,143,18.7
7.45,3.24,2453,212,18.8
7.44,3.18,2516,108,18.6
7.43,3.09,2434,123,18.6
7.44,3.12,2459,84,18.6
7.43,3.25,2425,67,18.5
7.42,2.55,2621,122,18.7
7.45,2.53,3388,157,18.8
7.5,3.57,3420,129,18.9
7.51,3.18,3710,201,18.8
7.5,2.82,3660,141,18.9
7.52,3.72,2840,159,19
7.51,3.05,3491,195,18.9
7.56,3.81,3936,162,19
7.61,4.6,3855,140,19.2
7.57,3.6,4659,187,18.8
7.66,4.59,3871,151,19
7.67,4.31,4645,165,18.9
7.68,4.75,4199,113,18.8
7.68,5.45,4197,128,18.8
7.67,4.66,3283,110,19
7.65,4.58,4058,106,18.9
7.64,5.06,3264,56,18.7
7.62,4.97,3048,55,18.6
7.62,4.94,1379,58,18.8
7.6,4.64,3102,62,18.8
7.62,5.54,2472,36,18.7
7.6,5.56,942,26,18.4
7.57,5.46,2108,24,18.4
7.56,5.11,2087,24,18.4
7.55,4.89,2266,44,18.4
7.57,4.93,2599,56,18.7
7.56,4.88,2652,72,18.8
7.6,4.48,3855,150,18.8
7.65,5.96,2799,91,19.2
7.68,5.57,3452,164,19.1
7.76,7.04,2900,110,19.6
7.72,6.45,3216,101,19.5
7.78,7.17,3004,87,19.8
7.79,6.62,3706,134,19.5
7.83,6.95,3838,155,19.6
7.81,6.7,3886,137,19.6
7.77,6.05,4448,139,19.5
7.78,6.69,3889,95,19.3
7.75,6.07,3792,114,19.3
7.74,6.03,3991,87,19.3
7.76,6.34,3488,73,19.2
7.72,5.74,4141,90,19.2
7.71,6.43,3444,82,19.2
7.66,5.48,3565,61,19.2
7.63,5.02,3606,64,19.2
7.62,4.94,3656,72,19.2
7.6,4.59,1675,63,19.2
7.59,4.91,2878,44,19.2
7.6,5.45,2596,31,19
7.54,4.55,3229,80,19.1
7.56,4.33,3198,67,19.2
7.56,4.88,3001,76,19.2
7.55,4.09,3544,87,19.3
7.64,5.52,3101,130,19.2
