PH,oxy,elec,tur,tem
7,5.9,2267.4,71.7,16.8
7.1,6.2,2144.9,71.7,17
7.1,6.4,2056.9,70.8,17.1
7.1,6.5,1964.7,69.1,17.1
7.1,6.6,1919.2,67.4,17.1
7.1,6.6,1958.9,65.7,17
7.1,6.5,1980.4,63.7,16.9
7.1,6.5,1994.1,61.8,16.9
7.1,6.5,1989.5,60.8,16.9
7.1,6.5,1979.3,61,16.9
7.1,6.5,1992.6,62.7,17
7.1,6.3,2201.6,66,17.2
7.1,6.2,2426.2,71.1,17.3
7.1,6.2,2602.2,78.4,17.4
7.1,6.2,2702.6,86.3,17.5
7.1,6.2,2758.5,91.7,17.5
7.1,6.2,2824.2,94.9,17.6
7.1,6.1,2881.3,96,17.6
7.1,6.1,2913.6,95.8,17.6
7.1,6,2978.1,94.9,17.6
7.2,5.9,3028.2,92.7,17.6
7.2,5.8,3071.5,89.8,17.5
7.2,5.8,3096.8,86.9,17.5
7.2,5.9,3114.9,84.2,17.5
7.2,5.9,3101.8,81.1,17.5
7.2,5.9,3035.2,77,17.5
7.2,5.8,2877.2,72.8,17.4
7.2,5.7,2638.5,68.4,17.4
7.2,5.5,2401.1,65.5,17.3
7.1,5.3,2436.3,63.9,17.2
7.1,5.2,2478,63.3,17.1
7.1,5.2,2584.8,64.3,17.1
7.1,5.2,2647.1,66.4,17.1
7.1,5.2,2653.4,68.7,17.2
7.1,5.3,2609.8,71.6,17.2
7.1,5.3,2624.7,73.8,17.3
7.1,5.3,2723.5,74.5,17.4
7.1,5.4,2738.9,75,17.5
7.1,5.6,2665,76.4,17.6
7.1,5.9,2698.4,77.9,17.6
7.1,6.1,2660.8,80.1,17.7
7.1,6.4,2624.7,83.6,17.7
7.1,6.5,2618.1,88.9,17.7
7.1,6.5,2522.3,94.1,17.7
7.1,6.5,2338.7,98.3,17.7
7.1,6.5,2500.6,98.5,17.7
7.1,6.3,2657.8,98,17.6
7.1,6.1,2822.5,96.5,17.6
7.1,5.8,2905.5,92.8,17.5
7.1,5.4,2902.4,89.9,17.4
7.2,5.2,2798.3,87,17.4
7.2,5,2536.8,84,17.4
7.2,5.1,2110,77.1,17.4
7.2,5.4,1958.3,66.7,17.4
7.1,5.6,1825,55.4,17.4
7.1,5.6,1703.5,45.7,17.5
7.1,5.7,1615.8,39.6,17.5
7.1,5.5,1592.4,38.1,17.6
7.1,5.2,1617.3,41.2,17.6
7.1,5,1664.1,47.8,17.7
7.1,4.9,1716.6,59.3,17.7
7.1,5,1778.9,77,17.7
7.2,5.2,1852.5,101.6,17.7
7.3,5.4,1942.2,118.9,17.7
7.3,5.6,2046.9,133.7,17.7
7.3,5.8,2150.1,162.8,17.7
7.4,6.1,2217.8,191.3,17.7
7.4,6.2,2250.8,218.6,17.7
7.4,6.3,2229.2,242.8,17.7
7.4,6.4,2167.5,279.3,17.7
7.4,6.3,2119.8,312.8,17.7
7.4,6.2,2088.9,337.8,17.7
7.4,6.2,2031.8,351.1,17.6
7.4,6,1993.5,356.5,17.6
7.4,5.8,1981.1,339,17.6
7.4,5.7,1973.6,301.7,17.6
7.4,5.6,1955.6,289.9,17.5
7.4,5.6,1947.9,289.8,17.5
7.4,5.5,1961.6,291.8,17.6
7.4,5.5,2007.3,321,17.6
7.4,5.5,2074.3,328.4,17.7
7.4,5.6,2086.8,325.7,17.8
7.4,5.8,2085.6,317.5,17.8
7.4,5.8,2138.2,298.9,17.9
7.4,5.8,2234.2,278.1,17.9
7.4,5.9,2304.1,258.6,18
7.4,6,2367.3,242.5,18.1
7.4,6.3,2352.7,243.5,18.2
7.4,6.7,2295.8,234,18.3
7.4,7,2233,218.1,18.4
7.5,7.4,2178.1,218.4,18.4
7.5,7.7,2157.9,221.1,18.4
7.5,7.8,2139.6,219.4,18.4
7.5,7.7,2143.4,218.4,18.4
7.5,7.6,2136.9,219.8,18.4
7.4,7.5,2116.2,207.2,18.4
7.4,7.3,2083.6,193.2,18.4
7.4,7.3,2034.3,177.9,18.4
7.4,7.2,1969.6,176.4,18.4
7.4,7.2,1923.6,170.2,18.4
7.4,7.2,1855.6,162.1,18.4
7.3,7,1812.5,174.9,18.4
7.3,6.8,1786.4,197.4,18.4
7.3,6.6,1788.3,220,18.4
7.3,6.4,1810.6,241.3,18.4
7.3,6.2,1849.2,239.5,18.4
7.3,6.2,1877.4,218.2,18.5
7.3,6.3,1936.5,193.9,18.5
7.3,6.5,2019.3,171.1,18.5
7.3,6.6,2142.4,167.9,18.6
7.3,6.7,2255.5,176.3,18.6
7.3,6.9,2350.2,186.5,18.7
