tem,tur,elec,PH,oxy
16.8,71.7,2267.4,7,5.9
17,71.7,2144.9,7.1,6.2
17.1,70.8,2056.9,7.1,6.4
17.1,69.1,1964.7,7.1,6.5
17.1,67.4,1919.2,7.1,6.6
17,65.7,1958.9,7.1,6.6
16.9,63.7,1980.4,7.1,6.5
16.9,61.8,1994.1,7.1,6.5
16.9,60.8,1989.5,7.1,6.5
16.9,61,1979.3,7.1,6.5
17,62.7,1992.6,7.1,6.5
17.2,66,2201.6,7.1,6.3
17.3,71.1,2426.2,7.1,6.2
17.4,78.4,2602.2,7.1,6.2
17.5,86.3,2702.6,7.1,6.2
17.5,91.7,2758.5,7.1,6.2
17.6,94.9,2824.2,7.1,6.2
17.6,96,2881.3,7.1,6.1
17.6,95.8,2913.6,7.1,6.1
17.6,94.9,2978.1,7.1,6
17.6,92.7,3028.2,7.2,5.9
17.5,89.8,3071.5,7.2,5.8
17.5,86.9,3096.8,7.2,5.8
17.5,84.2,3114.9,7.2,5.9
17.5,81.1,3101.8,7.2,5.9
17.5,77,3035.2,7.2,5.9
17.4,72.8,2877.2,7.2,5.8
17.4,68.4,2638.5,7.2,5.7
17.3,65.5,2401.1,7.2,5.5
17.2,63.9,2436.3,7.1,5.3
17.1,63.3,2478,7.1,5.2
17.1,64.3,2584.8,7.1,5.2
17.1,66.4,2647.1,7.1,5.2
17.2,68.7,2653.4,7.1,5.2
17.2,71.6,2609.8,7.1,5.3
17.3,73.8,2624.7,7.1,5.3
17.4,74.5,2723.5,7.1,5.3
17.5,75,2738.9,7.1,5.4
17.6,76.4,2665,7.1,5.6
17.6,77.9,2698.4,7.1,5.9
17.7,80.1,2660.8,7.1,6.1
17.7,83.6,2624.7,7.1,6.4
17.7,88.9,2618.1,7.1,6.5
17.7,94.1,2522.3,7.1,6.5
17.7,98.3,2338.7,7.1,6.5
17.7,98.5,2500.6,7.1,6.5
17.6,98,2657.8,7.1,6.3
17.6,96.5,2822.5,7.1,6.1
17.5,92.8,2905.5,7.1,5.8
17.4,89.9,2902.4,7.1,5.4
17.4,87,2798.3,7.2,5.2
17.4,84,2536.8,7.2,5
17.4,77.1,2110,7.2,5.1
17.4,66.7,1958.3,7.2,5.4
17.4,55.4,1825,7.1,5.6
17.5,45.7,1703.5,7.1,5.6
17.5,39.6,1615.8,7.1,5.7
17.6,38.1,1592.4,7.1,5.5
17.6,41.2,1617.3,7.1,5.2
17.7,47.8,1664.1,7.1,5
17.7,59.3,1716.6,7.1,4.9
17.7,77,1778.9,7.1,5
17.7,101.6,1852.5,7.2,5.2
17.7,118.9,1942.2,7.3,5.4
17.7,133.7,2046.9,7.3,5.6
17.7,162.8,2150.1,7.3,5.8
17.7,191.3,2217.8,7.4,6.1
17.7,218.6,2250.8,7.4,6.2
17.7,242.8,2229.2,7.4,6.3
17.7,279.3,2167.5,7.4,6.4
17.7,312.8,2119.8,7.4,6.3
17.7,337.8,2088.9,7.4,6.2
17.6,351.1,2031.8,7.4,6.2
17.6,356.5,1993.5,7.4,6
17.6,339,1981.1,7.4,5.8
17.6,301.7,1973.6,7.4,5.7
17.5,289.9,1955.6,7.4,5.6
17.5,289.8,1947.9,7.4,5.6
17.6,291.8,1961.6,7.4,5.5
17.6,321,2007.3,7.4,5.5
17.7,328.4,2074.3,7.4,5.5
17.8,325.7,2086.8,7.4,5.6
17.8,317.5,2085.6,7.4,5.8
17.9,298.9,2138.2,7.4,5.8
17.9,278.1,2234.2,7.4,5.8
18,258.6,2304.1,7.4,5.9
18.1,242.5,2367.3,7.4,6
18.2,243.5,2352.7,7.4,6.3
18.3,234,2295.8,7.4,6.7
18.4,218.1,2233,7.4,7
18.4,218.4,2178.1,7.5,7.4
18.4,221.1,2157.9,7.5,7.7
18.4,219.4,2139.6,7.5,7.8
18.4,218.4,2143.4,7.5,7.7
18.4,219.8,2136.9,7.5,7.6
18.4,207.2,2116.2,7.4,7.5
18.4,193.2,2083.6,7.4,7.3
18.4,177.9,2034.3,7.4,7.3
18.4,176.4,1969.6,7.4,7.2
18.4,170.2,1923.6,7.4,7.2
18.4,162.1,1855.6,7.4,7.2
18.4,174.9,1812.5,7.3,7
18.4,197.4,1786.4,7.3,6.8
18.4,220,1788.3,7.3,6.6
18.4,241.3,1810.6,7.3,6.4
18.4,239.5,1849.2,7.3,6.2
18.5,218.2,1877.4,7.3,6.2
18.5,193.9,1936.5,7.3,6.3
18.5,171.1,2019.3,7.3,6.5
18.6,167.9,2142.4,7.3,6.6
18.6,176.3,2255.5,7.3,6.7
18.7,186.5,2350.2,7.3,6.9
18.7,222.4,2427,7.4,7
18.8,260.4,2427.7,7.4,7.1
18.8,287.3,2390.3,7.4,7.1
18.8,305.3,2323.8,7.4,7
18.8,310.3,2276.4,7.4,6.9
18.8,303.6,2583.2,7.4,6.9
18.7,272.6,2837.4,7.4,6.7
18.7,243,3005.3,7.4,6.5
18.7,230.1,3091.6,7.4,6.3
18.7,214.6,3115.7,7.4,6.1
18.7,195.8,3121.2,7.3,5.9
18.7,191.5,3114.8,7.3,5.8
18.6,186.1,3057.1,7.3,5.6
18.6,183.5,2975.1,7.3,5.5
18.6,183,2881.1,7.3,5.5
18.5,180.8,2801.4,7.3,5.4
18.5,188.3,2766.6,7.3,5.4
18.5,197.8,2743.9,7.3,5.5
18.5,196.8,2702.1,7.3,5.7
18.5,210.7,2682.9,7.3,5.9
18.5,216.7,2695.2,7.3,6
18.6,222.1,2738.3,7.3,6.1
18.6,237.9,2808.9,7.3,6.2
18.6,251.5,2900.5,7.3,6.2
18.6,261.4,3002.2,7.3,6.2
18.6,252.9,3087.1,7.3,6.2
18.6,241,3143.9,7.3,6.1
18.5,223,3122.6,7.3,6.2
18.5,205,3094.4,7.3,6.1
18.5,183.2,3043.2,7.3,6.1
18.4,178.2,3006.6,7.3,6
18.4,177.7,3003.4,7.3,5.9
18.4,178.1,3040.8,7.3,5.7
18.5,192.8,3074.7,7.3,5.5
18.5,198,3104.6,7.3,5.3
18.5,200,3132.3,7.3,5.2
18.4,195.7,3154.6,7.3,5
18.4,188.9,3171,7.3,4.9
18.4,182.9,3167.1,7.3,4.7
18.3,177,3161.1,7.3,4.6
18.3,166.5,3170.3,7.3,4.5
18.3,170.5,3152.6,7.3,4.5
18.3,179.2,3152.5,7.3,4.4
18.3,182,3158.4,7.3,4.5
18.4,201.3,3190.6,7.2,4.7
18.4,218,3205.5,7.2,5
18.5,232,3200.2,7.3,5.3
18.6,234,3141.1,7.3,5.6
18.6,221.7,3066.2,7.3,5.8
18.6,209.1,3006.5,7.3,5.8
18.7,186.3,2940.8,7.3,5.8
18.7,159.8,2857.5,7.2,5.8
