time,tem,PH,oxy,elec,tur
2019/1/1 0:00,17.2,7.16,5.74,2529,70
2019/1/1 1:00,17.2,7.17,6.39,1966,76
2019/1/1 2:00,17.2,7.15,6.48,2257,74
2019/1/1 3:00,17.2,7.14,6.55,1849,67
2019/1/1 4:00,17.1,7.14,6.86,1494,67
2019/1/1 5:00,17.1,7.12,6.47,2220,68
2019/1/1 6:00,16.9,7.13,6.32,2049,66
2019/1/1 7:00,16.8,7.13,6.34,2149,60
2019/1/1 8:00,16.7,7.12,6.5,2153,60
2019/1/1 9:00,16.7,7.12,6.74,2152,60
2019/1/1 10:00,17,7.12,6.98,915,61
2019/1/1 11:00,17.3,7.1,5.97,2318,64
2019/1/1 12:00,17.3,7.12,5.92,2697,62
2019/1/1 13:00,17.4,7.13,6.25,2925,74
2019/1/1 14:00,17.5,7.15,6.36,2818,98
2019/1/1 15:00,17.5,7.14,6.03,2551,96
2019/1/1 16:00,17.7,7.15,6.45,2812,98
2019/1/1 17:00,17.6,7.13,6.06,3033,96
2019/1/1 18:00,17.7,7.15,6.33,2646,93
2019/1/1 19:00,17.6,7.15,6.04,3061,97
2019/1/1 20:00,17.4,7.15,5.65,3002,94
2019/1/1 21:00,17.5,7.15,5.7,3099,87
2019/1/1 22:00,17.5,7.16,5.6,2986,84
2019/1/1 23:00,17.6,7.15,5.84,3099,84
2019/1/2 0:00,17.5,7.14,6.45,3153,87
2019/1/2 1:00,17.6,7.14,5.66,3358,76
2019/1/2 2:00,17.6,7.17,6.23,3308,77
2019/1/2 3:00,17.3,7.17,5.75,2897,63
2019/1/2 4:00,17.2,7.14,5.34,850,64
2019/1/2 5:00,17.2,7.15,5.17,2903,64
2019/1/2 6:00,17.1,7.15,5.13,2177,60
2019/1/2 7:00,17.1,7.14,5.24,2900,63
2019/1/2 8:00,17,7.14,5.08,2913,68
2019/1/2 9:00,17.2,7.14,5.34,2959,65
2019/1/2 10:00,17.3,7.14,5.6,2238,75
2019/1/2 11:00,17.4,7.14,5.09,2033,82
2019/1/2 12:00,17.3,7.14,5.22,3248,75
2019/1/2 13:00,17.4,7.15,5.3,3290,69
2019/1/2 14:00,17.6,7.16,5.13,1769,80
2019/1/2 15:00,17.7,7.15,6.2,3208,77
2019/1/2 16:00,17.6,7.12,5.62,2576,77
2019/1/2 17:00,17.8,7.13,7.38,2310,74
2019/1/2 18:00,17.8,7.12,6.39,3220,90
2019/1/2 19:00,17.7,7.13,6.21,3447,92
2019/1/2 20:00,17.8,7.15,6.03,188,118
2019/1/2 21:00,17.6,7.11,7.01,2962,91
2019/1/2 22:00,17.6,7.1,6.58,2566,97
2019/1/2 23:00,17.6,7.11,6.03,3102,106
2019/1/3 0:00,17.4,7.12,5.92,2984,82
2019/1/3 1:00,17.5,7.12,5.59,2968,86
2019/1/3 2:00,17.4,7.14,4.85,3330,78
2019/1/3 3:00,17.3,7.19,4.2,3579,100
2019/1/3 4:00,17.5,7.21,4.52,224,91
2019/1/3 5:00,17.3,7.19,5.8,2230,70
2019/1/3 6:00,17.4,7.1,6.3,2024,53
2019/1/3 7:00,17.5,7.12,5.16,1741,39
2019/1/3 8:00,17.4,7.05,6.73,1448,32
2019/1/3 9:00,17.6,7.05,5.74,1514,35
2019/1/3 10:00,17.6,7.06,4.87,1654,47
2019/1/3 11:00,17.7,7.09,4.42,1751,45
2019/1/3 12:00,17.7,7.09,4.78,1738,45
2019/1/3 13:00,17.7,7.08,4.2,1781,43
2019/1/3 14:00,17.8,7.24,6,1806,165
2019/1/3 15:00,17.8,7.28,5.61,1858,151
2019/1/3 16:00,17.7,7.3,5.3,1996,46
2019/1/3 17:00,17.6,7.34,5.82,2257,186
2019/1/3 18:00,17.7,7.36,6.12,2238,206
2019/1/3 19:00,17.7,7.38,6.55,2416,252
2019/1/3 20:00,17.6,7.39,6.04,2358,154
2019/1/3 21:00,17.7,7.41,6.47,1993,289
2019/1/3 22:00,17.7,7.39,6.61,1981,330
2019/1/3 23:00,17.8,7.36,5.97,2305,358
2019/1/4 0:00,17.5,7.46,6.26,1938,326
2019/1/4 1:00,17.6,7.42,6.37,1876,446
2019/1/4 2:00,17.5,7.36,5.57,2002,454
2019/1/4 3:00,17.7,7.36,5.34,2099,134
2019/1/4 4:00,17.5,7.41,5.58,1950,264
2019/1/4 5:00,17.5,7.38,5.74,1900,336
2019/1/4 6:00,17.5,7.38,5.81,1831,109
2019/1/4 7:00,17.6,7.35,5.44,1874,471
2019/1/4 8:00,17.6,7.31,4.91,2457,350
2019/1/4 9:00,17.8,7.35,4.98,2204,315
2019/1/4 10:00,18,7.43,6.89,1785,355
2019/1/4 11:00,18,7.37,6.36,1899,294
2019/1/4 12:00,17.8,7.3,4.74,2407,272
2019/1/4 13:00,18,7.37,6.58,2177,259
2019/1/4 14:00,18,7.31,5.35,2712,135
2019/1/4 15:00,18,7.39,6.06,2454,332
2019/1/4 16:00,18.4,7.48,7.01,2241,292
2019/1/4 17:00,18.6,7.39,6.35,2195,116
2019/1/4 18:00,18.5,7.49,8.07,1992,220
2019/1/4 19:00,18.4,7.48,7.92,2228,258
2019/1/4 20:00,18.3,7.56,8.21,2011,207
2019/1/4 21:00,18.4,7.46,7.68,2210,182
2019/1/4 22:00,18.4,7.44,7.53,2182,301
2019/1/4 23:00,18.4,7.43,7.34,2124,199
2019/1/5 0:00,18.3,7.46,7.18,2130,212
2019/1/5 1:00,18.4,7.38,6.9,2106,91
2019/1/5 2:00,18.4,7.4,7.23,1812,237
2019/1/5 3:00,18.4,7.36,7.33,2124,221
2019/1/5 4:00,18.3,7.38,7.62,1741,57
2019/1/5 5:00,18.4,7.33,7.06,1815,147
2019/1/5 6:00,18.4,7.32,6.93,1719,205
2019/1/5 7:00,18.4,7.31,6.61,1772,187
2019/1/5 8:00,18.3,7.33,6.46,1790,338
2019/1/5 9:00,18.4,7.25,5.67,2033,312
2019/1/5 10:00,18.5,7.28,6.01,1769,205
2019/1/5 11:00,18.5,7.23,5.82,1912,206
2019/1/5 12:00,18.6,7.42,7.53,1815,84
2019/1/5 13:00,18.5,7.24,5.94,2225,153
2019/1/5 14:00,18.7,7.32,6.87,2288,239
2019/1/5 15:00,18.6,7.32,6.87,2276,52
2019/1/5 16:00,18.6,7.37,7.03,2758,230
2019/1/5 17:00,18.9,7.41,7.55,2535,316
2019/1/5 18:00,18.8,7.36,7.14,2668,291
2019/1/5 19:00,18.8,7.36,6.93,2662,324
2019/1/5 20:00,18.8,7.37,6.62,141,309
2019/1/5 21:00,18.7,7.38,7.27,3258,420
2019/1/5 22:00,18.7,7.38,6.6,3267,238
2019/1/5 23:00,18.8,7.39,6.38,3236,130
2019/1/6 0:00,18.6,7.42,6.43,3205,270
2019/1/6 1:00,18.7,7.35,6.15,2986,262
2019/1/6 2:00,18.7,7.32,5.87,2986,112
2019/1/6 3:00,18.7,7.33,5.82,3299,227
2019/1/6 4:00,18.6,7.35,5.56,3083,183
2019/1/6 5:00,18.7,7.31,5.66,3014,182
2019/1/6 6:00,18.6,7.3,5.48,2834,216
2019/1/6 7:00,18.4,7.27,5.25,2576,126
2019/1/6 8:00,18.4,7.27,5.39,2772,184
2019/1/6 9:00,18.6,7.26,5.09,2971,286
2019/1/6 10:00,18.4,7.3,6.07,2646,88
2019/1/6 11:00,18.5,7.27,6.14,2617,279
2019/1/6 12:00,18.4,7.28,5.95,2652,228
2019/1/6 13:00,18.6,7.26,5.77,2696,149
2019/1/6 14:00,18.6,7.3,6.63,2762,248
2019/1/6 15:00,18.8,7.27,6.22,2842,239
2019/1/6 16:00,18.5,7.27,6.32,3035,348
2019/1/6 17:00,18.6,7.28,6.12,3090,229
